Scenario,Buffer Size,Arrival Rate,Users,Arrivals,Departures,Loss Rate,Packets Lost,Average Users,Average Delay,Average Queue Delay,Average Waiting Delay,Average Buffer Occupancy,Loss Probability,Busy Time Ratio
one_drone_two_antennas,50,1.2,-,119792,100394,0.193579154158677,19358,47.52226785104299,46.48827552052968,44.49637160714987,1.991903913379808,38.273657673300384,0.16159676773073328,0.9999156259728001
two_drones_one_antenna,inf,0.5,-,50006,49997,0.0,0,5.503444728240956,6.0081061607660455,4.008165763534752,1.999940397231314,1.5036795584529856,0.0,0.5000084593962237
two_drones_one_antenna,inf,0.8,-,80315,80308,0.0,0,11.188869850190322,11.19320048527618,9.202837408609136,1.990363076667074,4.498549461495362,0.0,0.7992277045740375
two_drones_one_antenna,inf,1.0,-,99822,99191,0.0,0,403.29122909614915,402.2185819981294,400.2162267855715,2.0023552125609343,199.58886818536996,0.0,0.9931197783530131
two_drones_one_antenna,inf,1.2,-,119824,100160,0.0,0,9894.850964493891,8276.020955247383,8274.024384348486,1.996570898883092,4136.453339898518,0.0,0.9999173990509688
two_drones_one_antenna,10,0.5,-,49804,49779,0.00016999781430782838,17,5.46004932903396,5.939463188005774,3.949733102731945,1.989730085273819,1.4758653923379648,0.0003413380451369368,0.49525186475351324
two_drones_one_antenna,10,0.8,-,80195,78413,0.017709928395421907,1771,9.254087639641448,9.014891479988083,7.022144130774262,1.9927473492137755,3.305368165097575,0.02208367105181121,0.7813335651416266
two_drones_one_antenna,10,1.0,-,100466,91485,0.08968855415450826,8969,13.472285613861061,12.646360587321713,10.646680568553323,1.999680018768377,4.801236239125674,0.08927398323811041,0.9147297861050623
two_drones_one_antenna,10,1.2,-,119872,97121,0.2273595364945844,22736,16.84393200269717,15.644516823564844,13.646230460823938,1.9982863627409688,5.513405966364122,0.1896689802455953,0.9704055528799477
two_drones_one_antenna,20,0.5,-,49960,49959,0.0,0,5.489523338990853,5.994143177957789,3.9979667446774805,1.9961764332803078,1.5040432345876702,0.0,0.49864274513248275
two_drones_one_antenna,20,0.8,-,79826,79644,0.0016899982386750574,169,10.840889370305726,10.854594879442633,8.854279013396829,2.000315866045873,4.292436048405282,0.0021171047027284343,0.7965739161178592
two_drones_one_antenna,20,1.0,-,99631,94683,0.049099833553353775,4910,23.46064468434496,22.705418707421956,20.696074935381382,2.0093437720406753,9.736015898666079,0.04928185002659815,0.951288944497438
two_drones_one_antenna,20,1.2,-,120004,99827,0.2014195626506636,20142,34.471539902598046,32.84146985424452,30.84480001102583,1.996669843218652,12.859321355954801,0.1678444051864938,0.9966586103214565
two_drones_one_antenna,50,0.5,-,50463,50461,0.0,0,5.522941080353926,6.018709996699949,4.003476855389421,2.0152331413105458,1.5027842181400233,0.0,0.5084722269277735
two_drones_one_antenna,50,0.8,-,79664,79657,0.0,0,10.9353546935606,10.968856615356945,8.968715329017808,2.000141286339187,4.350409218718618,0.0,0.796680601675175
two_drones_one_antenna,50,1.0,-,100320,98416,0.018479983774003075,1848,53.79312445398575,52.6405205303822,50.643091329636775,1.9974292007452443,24.91000797448166,0.018421052631578946,0.9829080797116808
two_drones_one_antenna,50,1.2,-,119599,100165,0.19355795117625194,19356,93.59923824275927,91.74431593534025,89.74775440175969,1.9965615335793268,37.68366792364485,0.1618408180670407,0.999964748506097
